2019-12-19,99.99%,4115.00,4125.00,+7.5,4115
2019-12-20,99.99%,4115.00,4125.00,+2.5,4115
2019-12-23,99.99%,4155.00,4165.00,+35,4120
2019-12-24,99.99%,4215.00,4225.00,+52.5,4170
2019-12-25,99.99%,4275.00,4285.00,+42.5,4245
2019-12-26,99.99%,4270.00,4330.00,+22.5,4275
2019-12-27,99.99%,4315.00,4325.00,+10,4325
2019-12-30,99.99%,4315.00,4325.00,+12.5,4315
2019-12-31,99.99%,4345.00,4355.00,+30,4320
2020-12-31,99.99%,4345.00,4370.00,+37.5,4360
2020-01-02,99.99%,4305.00,4315.00,-47.5,4360
2020-01-03,99.99%,4340.00,4350.00,+40,4305
2020-01-06,99.99%,4445.00,4455.00,+82.5,4360
2020-01-07,99.99%,4370.00,4380.00,-77.5,4455
2020-01-08,99.99%,4505.00,4515.00,+145,4370
2020-01-09,99.99%,4360.00,4370.00,-117.5,4465
2020-01-10,99.99%,4280.00,4290.00,-47.5,4350
2020-01-13,99.99%,4310.00,4320.00,+32.5,4280
2020-01-14,99.99%,4220.00,4230.00,-82.5,4300
2020-01-15,99.99%,4225.00,4235.00,+15,4215
2020-01-16,99.99%,4265.00,4275.00,+27.5,4250
2020-01-17,99.99%,4255.00,4265.00,+0,4260
2020-01-20,99.99%,4260.00,4270.00,+2.5,4265
2020-01-21,99.99%,4290.00,4300.00,+27.5,4260
2020-01-22,99.99%,4225.00,4235.00,-70,4305
2020-01-23,99.99%,4230.00,4240.00,+5,4230
2020-02-03,99.99%,4295.00,4305.00,+65,4235
2020-02-04,99.99%,4255.00,4265.00,-35,4290
2020-02-05,99.99%,4235.00,4245.00,-22.5,4265
2020-02-06,99.99%,4250.00,4260.00,+5,4250
2020-02-07,99.99%,4275.00,4285.00,+30,4245
2020-02-10,99.99%,4270.00,4280.00,+2.5,4275
2020-02-11,99.99%,4265.00,4275.00,+0,4265
2020-02-12,99.99%,4235.00,4245.00,-25,4265
2020-02-13,99.99%,4225.00,4235.00,+0,4230
2020-02-14,99.99%,4250.00,4260.00,+20,4235
2020-02-17,99.99%,4275.00,4285.00,+30,4250
2020-02-18,99.99%,4285.00,4295.00,+7.5,4285
2020-02-19,99.99%,4385.00,4395.00,+92.5,4300
2020-02-20,99.99%,4400.00,4410.00,+10,4395
2020-02-21,99.99%,4445.00,4455.00,+35,4425
2020-02-24,99.99%,4520.00,4530.00,+67.5,4455
2020-02-25,99.99%,4465.00,4475.00,-45,4510
2020-02-26,99.99%,4370.00,4380.00,-77.5,4475
2020-02-27,99.99%,4355.00,4365.00,-7.5,4370
2020-02-28,99.99%,4260.00,4270.00,-100,4365
2020-03-02,99.99%,4070.00,4080.00,-117.5,4245
2020-03-03,99.99%,4075.00,4085.00,-2.5,4080
2020-03-04,99.99%,4140.00,4150.00,+80,4075
2020-03-05,99.99%,4115.00,4125.00,-17.5,4135
2020-03-06,99.99%,4160.00,4170.00,+47.5,4120
2020-03-09,99.99%,4100.00,4110.00,-57.5,4160
2020-03-10,99.99%,4035.00,4045.00,+0,4080
2020-03-11,99.99%,4080.00,4090.00,+27.5,4065
2020-03-12,99.99%,4020.00,4030.00,-47.5,4080
2020-03-13,99.99%,3760.00,3770.00,-227.5,3985
2020-03-16,99.99%,3545.00,3555.00,-242.5,3785
2020-03-17,99.99%,3170.00,3180.00,-382.5,3555
2020-03-18,99.99%,3090.00,3100.00,-77.5,3165
2020-03-19,99.99%,2965.00,2975.00,-125,3095
2020-03-20,99.99%,3025.00,3035.00,+112.5,2920
2020-03-23,99.99%,3095.00,3105.00,+12.5,3085
2020-03-24,99.99%,3455.00,3465.00,+340,3125
2020-03-25,99.99%,3480.00,3490.00,+105,3430
2020-03-26,99.99%,3490.00,3500.00,-12.5,3490
2020-03-27,99.99%,3575.00,3585.00,+70,3515
2020-03-30,99.99%,3375.00,3385.00,-187.5,3560
2020-03-31,99.99%,3425.00,3435.00,+62.5,3375
2020-04-01,99.99%,3405.00,3415.00,-15,3425
2020-04-02,99.99%,3415.00,3425.00,+10,3410
2020-04-03,99.99%,3555.00,3565.00,+115,3420
2020-04-07,99.99%,3740.00,3750.00,+200,3550
2020-04-08,99.99%,3675.00,3685.00,-60,3745
2020-04-09,99.99%,3695.00,3705.00,+5,3695
2020-04-10,99.99%,3760.00,3770.00,+65,3700
2020-04-13,99.99%,3690.00,3700.00,-62.5,3760
2020-04-14,99.99%,3740.00,3750.00,+52.5,3690
2020-04-15,99.99%,3815.00,3825.00,+45,3785
2020-04-16,99.99%,3730.00,3740.00,-75,3815
2020-04-17,99.99%,3735.00,3745.00,-15,3730
2020-04-20,99.99%,3650.00,3660.00,-45,3730
2020-04-21,99.99%,3715.00,3725.00,+45,3685
2020-04-22,99.99%,3590.00,3600.00,-110,3700
2020-04-23,99.99%,3690.00,3700.00,+110,3585
2020-04-24,99.99%,3690.00,3700.00,+0,3705
2020-04-27,99.99%,3705.00,3715.00,+20,3690
2020-04-28,99.99%,3645.00,3655.00,-60,3715
2020-04-29,99.99%,3660.00,3670.00,+35,3640
2020-04-30,99.99%,3670.00,3680.00,+10,3665
2020-05-06,99.99%,3660.00,3670.00,-20,3675
2020-05-07,99.99%,3665.00,3675.00,+0,3665
2020-05-08,99.99%,3760.00,3770.00,+102.5,3660
2020-05-11,99.99%,3790.00,3800.00,+27.5,3765
2020-05-12,99.99%,3760.00,3770.00,-20,3785
2020-05-13,99.99%,3770.00,3780.00,+7.5,3765
2020-05-14,99.99%,3775.00,3785.00,+7.5,3775
2020-05-15,99.99%,3925.00,3935.00,+147.5,3780
2020-05-18,99.99%,4185.00,4195.00,+235,3940
2020-05-19,99.99%,4155.00,4165.00,-37.5,4195
2020-05-20,99.99%,4290.00,4300.00,+137.5,4160
2020-05-21,99.99%,4165.00,4245.00,-77.5,4280
2020-05-22,99.99%,4110.00,4120.00,-87.5,4190
2020-05-25,99.99%,4170.00,4180.00,+80,4100
2020-05-26,99.99%,4245.00,4255.00,+95,4170
2020-05-27,99.99%,4190.00,4200.00,-47.5,4250
2020-05-28,99.99%,4235.00,4245.00,+62.5,4180
2020-05-29,99.99%,4250.00,4260.00,+17.5,4240
2020-06-01,99.99%,4405.00,4415.00,+150,4255
2020-06-02,99.99%,4415.00,4425.00,-17.5,4440
2020-06-03,99.99%,4340.00,4350.00,-77.5,4425
2020-06-04,99.99%,4285.00,4295.00,-47.5,4335
2020-06-05,99.99%,4290.00,4300.00,+25,4280
2020-06-08,99.99%,4230.00,4240.00,-55,4285
2020-06-09,99.99%,4265.00,4275.00,+15,4250
2020-06-10,99.99%,4275.00,4285.00,+20,4260
2020-06-11,99.99%,4325.00,4335.00,+45,4285
2020-06-12,99.99%,4215.00,4225.00,-97.5,4320
2020-06-22,99.99%,4320.00,4355.00,+127.5,4335
2020-06-23,99.99%,4295.00,4305.00,-37.5,4335
2020-06-24,99.99%,4315.00,4325.00,+30,4285
2020-06-29,99.99%,4305.00,4315.00,+0,4300
2020-06-30,99.99%,4275.00,4285.00,-27.5,4310
2020-07-01,99.99%,4385.00,4395.00,+102.5,4290
2020-07-02,99.99%,4315.00,4325.00,-75,4390
2020-07-03,99.99%,4330.00,4340.00,+22.5,4315
2020-07-06,99.99%,4320.00,4330.00,-2.5,4330
2020-07-07,99.99%,4370.00,4380.00,+50,4320
2020-07-08,99.99%,4370.00,4380.00,+15,4355
2020-07-09,99.99%,4445.00,4455.00,+77.5,4370
2020-07-10,99.99%,4425.00,4435.00,-37.5,4465
2020-07-13,99.99%,4460.00,4470.00,+45,4425
2020-07-14,99.99%,4525.00,4535.00,+37.5,4490
2020-07-15,99.99%,4560.00,4570.00,+42.5,4520
2020-07-16,99.99%,4560.00,4570.00,-2.5,4560
2020-07-17,99.99%,4485.00,4525.00,-50,4565
2020-07-20,99.99%,4540.00,4550.00,+40,4500
2020-07-21,99.99%,4675.00,4685.00,+132.5,4545
2020-07-22,99.99%,5290.00,5300.00,+555,4775
2020-07-23,99.99%,5330.00,5340.00,+15,5320
2020-07-24,99.99%,5335.00,5345.00,+30,5320
2020-07-27,99.99%,5400.00,5410.00,+87.5,5325
2020-07-28,99.99%,6080.00,6090.00,+522.5,5650
2020-07-29,99.99%,5705.00,5715.00,-177.5,5950
2020-07-30,99.99%,5685.00,5695.00,-5,5695
2020-07-31,99.99%,5510.00,5520.00,-122.5,5670
2020-08-03,99.99%,5665.00,5675.00,+72.5,5540
2020-08-04,99.99%,5675.00,5685.00,-5,5685
2020-08-05,99.99%,6045.00,6055.00,+360,5685
2020-08-06,99.99%,6265.00,6275.00,+212.5,6040
2020-08-07,99.99%,6720.00,6730.00,+375,6275
2020-08-10,99.99%,6485.00,6495.00,-145,6660
2020-08-11,99.99%,6695.00,6705.00,+140,6500
2020-08-12,99.99%,5750.00,5760.00,-830,6695
2020-08-13,99.99%,6000.00,6010.00,+250,5755
2020-08-14,99.99%,6325.00,6335.00,+352.5,5975
2020-08-17,99.99%,5975.00,5985.00,-295,6300
2020-08-18,99.99%,6350.00,6360.00,+270,6040
2020-08-19,99.99%,6275.00,6285.00,-92.5,6365
2020-08-20,99.99%,6005.00,6030.00,-230,6270
2020-08-21,99.99%,6100.00,6110.00,+27.5,6090
2020-08-24,99.99%,5755.00,5780.00,-295,6100
2020-08-25,99.99%,5810.00,5820.00,+72.5,5760
2020-08-26,99.99%,5770.00,5780.00,-10,5805
2020-08-27,99.99%,5965.00,5975.00,+200,5770
2020-08-28,99.99%,5940.00,5995.00,+2.5,5980
2020-08-31,99.99%,6125.00,6185.00,+187.5,5980
2020-09-01,99.99%,6215.00,6225.00,+65,6175
2020-09-02,99.99%,6200.00,6210.00,-65,6300
2020-09-03,99.99%,6075.00,6120.00,-87.5,6190
2020-09-04,99.99%,5915.00,5935.00,-147.5,6100
2020-09-07,99.99%,5970.00,5980.00,+85,5905
2020-09-08,99.99%,5885.00,5895.00,-37.5,5970
2020-09-09,99.99%,5845.00,5855.00,-62.5,5890
2020-09-10,99.99%,5930.00,5940.00,+82.5,5850
2020-09-11,99.99%,5850.00,5860.00,-77.5,5935
2020-09-14,99.99%,5865.00,5875.00,+22.5,5835
2020-09-15,99.99%,5885.00,5895.00,+35,5855
2020-09-16,99.99%,5870.00,5880.00,-35,5915
2020-09-17,99.99%,5835.00,5865.00,-27.5,5875
2020-09-18,99.99%,5780.00,5795.00,-22.5,5790
2020-09-21,99.99%,5790.00,5800.00,-15,5795
2020-09-22,99.99%,5250.00,5260.00,-515,5785
2020-09-23,99.99%,5180.00,5190.00,-50,5255
2020-09-24,99.99%,4830.00,4870.00,-182.5,5135
2020-09-25,99.99%,4875.00,4885.00,+120,4770
2020-09-28,99.99%,4880.00,4890.00,-40,4925
2020-09-29,99.99%,5030.00,5040.00,+187.5,4885
2020-09-30,99.99%,5060.00,5070.00,+67.5,5010
2020-10-09,99.99%,5065.00,5075.00,+35,5035
2020-10-12,99.99%,5350.00,5375.00,+275,5090
2020-10-13,99.99%,5320.00,5330.00,-60,5385
2020-10-14,99.99%,5060.00,5070.00,-217.5,5270
2020-10-15,99.99%,5095.00,5105.00,+7.5,5100
2020-10-16,99.99%,5145.00,5155.00,+60,5095
2020-10-19,99.99%,5090.00,5100.00,-27.5,5130
2020-10-20,99.99%,5175.00,5185.00,+25,5095
2020-10-21,99.99%,5245.00,5255.00,+85,5165
2020-10-22,99.99%,5220.00,5230.00,-30,5265
2020-10-23,99.99%,5180.00,5190.00,-37.5,5225
2020-10-26,99.99%,5095.00,5130.00,-70,5185
2020-10-27,99.99%,5140.00,5150.00,+50,5110
2020-10-28,99.99%,5150.00,5160.00,-5,5160
2020-10-29,99.99%,4930.00,4940.00,-235,5150
2020-10-30,99.99%,4935.00,4945.00,+7.5,4940
2020-11-02,99.99%,4995.00,5005.00,+90,4940
2020-11-03,99.99%,5095.00,5105.00,+60,5060
2020-11-04,99.99%,5150.00,5160.00,+45,5110
